question,reasoning,doc_id
Which Calgary-based public college was originally founded as the Alberta Vocational Centre in 1965?,Uses the original name 'Alberta Vocational Centre' and founding year to uniquely identify the institution,4298558
"Which comprehensive community college in Alberta has branch campuses in Banff, Cochrane, and Strathmore?",Focuses on the specific list of branch campuses and the region to narrow down the search to this college,4298558
What educational institution in Calgary offers a Centre for Entertainment Arts specializing in 3D animation and video game development?,Highlights a specific specialized school (Centre for Entertainment Arts) and its niche programs to distinguish it from other colleges,4298558
Where did the New York Nets play their early ABA games before moving to the Nassau Coliseum?,Focuses on the specific historical period of the New York Nets in the ABA and their transition between venues.,4194881
Which West Hempstead venue was built by the descendant of a San Diego sculptor and later became a youth basketball facility?,Uses the unique 'descendant of a San Diego sculptor' and 'West Hempstead' hooks to identify the specific site.,4194881
What happened to the island garden arena after it couldn't compete with the Nassau Coliseum?,Directly mentions the name of the venue to provide a variety of question types and search intent.,4194881
"Which post-apocalyptic RPG features a deep tank customization system where you can mount primary and secondary guns, and use armor tiles to protect internal components?","Targets the highly specific and detailed tank customization mechanics (primary/secondary guns, armor tiles), which are a unique 'hook' for this game.",4304472
"In which game can you recruit a party of four consisting of a hunter, a mechanic, and a mechanized dog that attacks automatically in combat?","Uses the unique party composition (hunter, mechanic, mechanized dog) as a distinguishing characteristic to allow a specialist to identify the title.",4304472
"What is the plot of Metal Saga, involving a search for a pre-destruction missile silo called Ziggurat and an android named Alex?","Combines the game's title with specific plot points (Ziggurat, android Alex) to provide a clear search query for the the story's main arc.",4304472
"Which subculture describes the collective habits, demographics, and social networks of people who play video games?",Targets the general definition and characteristics of the subculture described in the context.,4373654
What was the groundbreaking 3D game that led to the creation of 'clans' and organized competitive groups?,Uses the specific 'groundbreaking 3D game' and 'clans' hooks to identify the game (Quake) without relying solely on the title.,4373654
"In the context of gaming subculture, what is 'identity tourism' and how does it apply to MMORPGs?",Focuses on a specific academic concept ('identity tourism') and its application to a specific game genre (MMORPGs) mentioned in the text.,4373654
Which early football manager game first introduced real player names into the series?,Uses the 'real player names' milestone as a key identifying feature of this specific installment,4082022
What soccer management sim from the early 90s featured a Norwegian league version and a dedicated Italian edition?,Combines the 'Norwegian league' and 'Italian edition' hooks to uniquely identify the game's regional versions,4082022
Which football management game added fictional super-players like Mark Collis and Ferah Orosco to Cambridge United in its end-of-season update?,References specific rare character names and the club Cambridge United to create a high-specificity query that a specialist would recognize,4082022
Which tabletop RPG system uses a d100 roll-under mechanic with seven core characteristics like Power and Appearance?,Uses the 'd100 roll-under' and 'seven core characteristics' as specific hooks to identify the system without naming it,4592
What generic role-playing system served as the foundation for Call of Cthulhu and the Swedish game Drakar och Demoner?,Links the system to its most famous derivatives (Call of Cthulhu) and an international license (Drakar och Demoner) to pinpoint the system,4592
Which 1980s RPG system introduced a modular design allowing GMs to build their own games using booklets like the Worlds of Wonder box set?,Focuses on the modular design and the specific 'Worlds of Wonder' box set which are distinguishing characteristics of the system's early history,4592
Which 1993 cricket game for Amiga and PC features pseudo-3D graphics and dynamic player shadows?,"Combines the release year, platform, and the unique 'pseudo-3D with dynamic shadows' visual hook to identify the game.",4270070
What sports title has regional versions named after Allan Border and Jonty Rhodes?,Uses the highly specific regional branding (Allan Border and Jonty Rhodes) as a distinguishing characteristic.,4270070
Which cricket simulator included a 'Second Innings' update that let users play a match where Gooch scored 333 runs?,Targets the specific 'Second Innings' expansion and the unique historical match detail (333 runs) to pinpoint the title.,4270070
Which Japanese developer originally relied on Atari and Midway for international distribution before starting its own global publishing?,"Targets the specific historical distribution relationship between the developer, Atari, and Midway as a distinguishing characteristic.",4054934
What company became the successor to Namco after merging with Bandai's video game division in 2006?,Uses the 2006 merger date and the relationship between Namco and Bandai as a key identifier.,4054934
Who handled the Japanese release of several Atari arcade titles?,Focuses on the specific detail regarding Atari arcade titles being released in Japan by this specific company.,4054934
Who are the Uruguayan software developers behind GeneXus and GXPortal?,"Identifies the company by its specific software products (GeneXus, GXPortal) and origin (Uruguay).",4219421
Which scientific book publisher is known as Artech House?,Directly identifies the publishing house using its name as requested by the guidelines for one of the three questions.,4219421
Where is the Arcadia charter school located in the United States?,"Targets the specific location (Northfield, Minnesota) and the unique name of the charter school.",4219421
What does the abbreviation BFN stand for in internet slang?,Directly targets the slang definition of BFN to match the user's search intent for meaning.,4454139
Which German federal agency is associated with the abbreviation BFN?,Identifies the specific national agency (Germany's nature conservation office) linked to the abbreviation.,4454139
Which Plants vs. Zombies title released in 2019 focuses on the battle for neighborville?,Uses the game franchise name and the specific setting (Neighborville) to identify the 2019 title.,4454139
Which 1999 party game features a game show hosted by Chef and uses a 'shafting' mechanic to pass questions to other players?,Uses the unique 'shafting' mechanic and the host 'Chef' to identify the game without using the title.,4111455
What Dreamcast and N64 title from Acclaim involves trivia and mini-games where players take the role of the host's guests?,"Mentions the specific developer (Acclaim), the specific consoles (Dreamcast/N64), and the game show format to create a hook for a specialist.",4111455
"Which South Park game from 1999 lets you play as Cartman, Kenny, Kyle, and Stan in a game show format?","Uses the game title 'South Park' and theroleable characters (Cartman, Kenny, Kyle, and Stan) to target a search for this specific title.",4111455
"Which ARPG features a character progression system where players can combine two different themed masteries to create one of 36 unique classes, such as a Conqueror or Summoner?","Targets the unique 'combine two masteries' and '36 unique classes' mechanic, which is a distinct hallmark of the game's character customization.",4354969
"What game set in the ancient world of Greece, Egypt, and Asia allows players to fight their way through the the Silk Road to stop the release of the titan Typhon?","Focuses on the settings (Greece, Egypt, Asia/Silk Road) and the specific plot point regarding Typhon, providing enough hooks for a specialist to identify the game.",4354969
In which 2006 action RPG was the enemy design inspired by the stop-motion work of Ray Harryhausen and the script written by a screenwriter known for Braveheart?,"Uses thehighest-level distinguishing characteristics: the specific release year, the Ray Harryhausen artistic influence, and the the Randall Wallace scriptwriter connection.",4354969
What Dreamcast racing game takes place on a terraformed Titan during a viral outbreak?,"Combines the specific setting (terraformed Titan), the genre (racing), and the plot element (viral outbreak) to identify the game.",4138067
Which Ubisoft racing sequel features a plot where you must race a person to stop a pandemic on Saturn's largest moon?,"Uses the publisher (Ubisoft), the plot premise (racing to stop a pandemic), and the astronomical location (Saturn's moon) as hooks.",4138067
What futuristic racing title had planned PS2 and Windows ports that were eventually cancelled?,Focuses on the specific development history of cancelled ports for the PS2 and Windows platforms.,4138067
Which WWII Royal Navy underwater vehicle is named after a horse-drawn carriage?,Uses the specific 'WWII Royal Navy underwater vehicle' hook to identify the Chariot manned torpedo.,4454430
What is the name of the Chinese chess piece that corresponds to a chariot?,Targets the specific terminology of 'Chinese chess piece' (xiangqi) and its association with the chariot.,4454430
Which 2022 film featuring John Malkovich is titled after a two-wheeled vehicle?,Combines the specific actor 'John Malkovich' and the release year '2022' to pinpoint the film Chariot.,4454430
Which 1999 album by Me & My peaked at number 11 in Denmark?,"Directly targets the artist, year, and specific chart position in Denmark to identify the album.",4213036
What dance game from the early 2000s features the track 'So Many Men'?,Uses the connection between the song 'So Many Men' and the specific dance game series mentioned in the text.,4213036
Which pop album includes a collaboration with Pipe on the song 'You Left Me'?,Uses the unique collaboration between Me & My and Pipe as a distinguishing hook to identify the record.,4213036
Which 2006 platformer developed by Traveller's Tales shifted the Super Monkey Ball series from puzzle-based gameplay to 3D adventure?,Targets the specific developer (Traveller's Tales) and the specific shift in gameplay style which is unique to this installment of the series.,4337024
In which game do players help Aiai and friends unite the feuding kingdoms of Monkitropolis and Kongri-la for a wedding?,Uses unique location names (Monkitropolis and Kongri-la) and the specific plot goal (a wedding) as hooks to identify the game.,4337024
What Sega title features monsters called 'Naysayers' formed from sorrow and includes a plot twist regarding magic energy balls from the future?,"Includes highly specific 'hooks' like 'Naysayers' and the future-Aiai plot twist, which are distinct characteristics described in the CONTEXT.",4337024
What is the difference between a monolithic kernel and a monolithic application in computing?,Targets the computing section to differentiate between software and OS kernel architectures,4189191
Which faction in the S.T.A.L.K.E.R. series is known as the Monolith?,Uses the specific 'S.T.A.L.K.E.R.' series and 'faction' hooks to identify the game-related entry,4189191
"Which artists have released albums titled Monolith, and which years were they released?",Covers the music/albums section to find a list of multiple artists and who used the same title,4189191
Which 2005 fighting game features a 'Slam' mechanic where players earn points by attacking opponents and destroying the arena?,Focuses on thet unique 'Slam' point system and the 2005 release date to identify the game,4123170
What Shrek game has a plot involving the dronkeys and a fictional show called Survivor: Sherwood Forest?,Uses the specific and quirky plot detail about 'Survivor: Sherwood Forest' and dronkeys,4123170
Which fighting game includes characters like Luna the witch and Quasimodo alongside Ogre Fiona and Pinocchio?,"Lists a specific roster of unique characters (Luna, Quasimodo) to allow a specialist to identify the title",4123170
Who is the cartoon character that appeared in the 2006 movie Re-Animated?,Mentions the specific film title and year to identify the character Golly,4377323
What open-source software is used to simulate cellular automata?,Targets the unique functionality of the software program Golly,4377323
Where is the Golly location situated in Wales?,Uses the specific location and region to identify the Golly place in Wrexham,4377323
Which Sega arcade game combines soccer with physical collectible cards produced by Panini?,"Uses 'Sega', 'soccer', and 'Panini cards' as specific hooks to identify the game",4367323
What soccer arcade game features a flat panel card reader where you can rub cards to communicate with players?,"Targets the unique 'flat panel card reader' and 'rubbing cards' mechanic, which is a specialist's hook",4367323
What is the name of the game series where the manager's contract on a club card must be replaced once the contract expires?,"Focuses on the 'manager's contract' and 'club card' system, distinguishing it from other sports games",4367323
