,question,doc_id
0,What is the name of the retro-style action title produced by Team2Bit that features a neurosurgeon hero?,9088
1,Which classic arcade-style brawler allows users to select from 19 different fighters and includes a special difficulty mode titled They Live?,9088
2,Can you provide information about the multiplayer combat game where players fight to save San Cruces from a character known as the Milkman?,9088
3,What is the historical backdrop and literary inspiration behind the third installment of this popular hack-and-slash series?,2984
4,How does the game balance historical accuracy from the Three Kingdoms period with fictional and supernatural gameplay elements?,2984
5,Can you describe the narrative focus and the primary goal of the warring factions depicted in this 2001 video game?,2984
6,What is the Japan-exclusive puzzle-platform title distributed through the Sega Game Toshokan library?,4428
7,How does the difficulty level of the Game Toshokan release Pyramid Magic Special compare to the original entry?,4428
8,Which Sega console featured a retooled iteration of the Pyramid Magic series that included additional hazards?,4428
9,What was the final primary title to hit the original Microsoft gaming console in 2007?,7063
10,Which athlete graced the front of the 2007 professional baseball simulation title published by 2K Sports?,7063
11,Can you identify the baseball simulator that marked the debut of the sport for the Nintendo DS handheld?,7063
12,What is the backstory of the action-oriented online title known as Mabinogi Heroes in Asian markets?,7887
13,How does the character creation and world structure function in this Nexon-published multiplayer experience?,7887
14,Can you describe the revenue model and early timeline placement of this specific online role-playing game?,7887
15,What classic Nickelodeon kart title is comparable to Mario Kart?,2758
16,Which video game features various iconic animated characters from shows like Rugrats and SpongeBob in a speed-based competition?,2758
17,Can you identify a retro go-kart game that includes a roster of personalities from 90s and early 2000s Nick series?,2758
18,What is the name of the vehicular combat title where you can drive weaponized ambulances and school buses?,10110
19,Which video game centers on causing mayhem on the road while equipping vehicles with explosives and boosters?,10110
20,Can you identify the high-speed title that rewards players for destroying opponents and upgrading their destructive fleet?,10110
21,Who published the North American version of the farming simulation that released in 2014 as a successor to the Harvest Moon series?,8608
22,What is the name of the agricultural life simulator that lets users design their own personal avatar from the ground up?,8608
23,Which game series served as the predecessor to the 2014 title released by XSEED?,8608
24,What specific mystery title features the famous investigator clearing his name amidst accusations of fraud and murder in nineteenth-century England?,6164
25,Which video game puts the player in control of a renowned detective who has become the primary suspect in a series of criminal activities?,6164
26,Can you provide details about the gameplay mechanics and plot premise for the interactive mystery experience set in 1898 London involving a disgraced investigator?,6164
27,What is the name of the law enforcement officer who transitions into a cyborg throughout the progression of this side-scrolling title?,6793
28,Can you describe the capabilities and tactical trade-offs of the specialized protective gear provided to the protagonist after the second stage?,6793
29,Which retro futuristic action title features a rookie officer battling the E.Y.E. syndicate in the city of Liberty?,6793
30,What is the backstory of the conflict involving the Mosquito fighter and the Martian rebels?,4356
31,Can you describe the plot premise regarding the discovery of the INFINITY chip on the Red Planet?,4356
32,What mission does the ACID unit undertake in the game that features a declaration of independence from a colony?,4356
33,What classic video game allows players to navigate the Age of Exploration as a Portuguese captain?,4459
34,Can you name a historical sailing simulator where you can choose between being a merchant or a pirate?,4459
35,What 16th-century nautical adventure game features a quest to restore a family's reputation while exploring global waters?,4459
36,What is the name of the game where you defend New Detroit from a massive extraterrestrial bug invasion?,5584
37,Which video game allows players to use jetpacks and various weaponry to fight swarms of aliens in a city-wide destruction setting?,5584
38,Can you provide information on the title that acts as a follow-up to the game Earth Defense Force 2017 and features a six-player survival mode?,5584
39,What is the plot of the 3D platformer where a famous arcade icon must travel to Ghost Island to save his family?,6530
40,Can you provide details about the 1999 title featuring an arcade mascot trying to rescue friends kidnapped by Toc-Man?,6530
41,Which classic game character stars in a 3D adventure that pays tribute to his legacy while fighting against ghosts?,6530
42,What are the main gameplay mechanics for the two protagonists who inhabit one body in the world of Junovald?,7363
43,How does the combat system handle the unique entities known as Belzeds in this role-playing title?,7363
44,Can you describe the divine influence of Meitilia and Formival on the realm where this turn-based adventure unfolds?,7363
45,What is the premise of the open-world title where you wake up on an island filled with extinct reptiles?,10239
46,Which survival-crafting sandbox game features a narrative involving ancient technology and futuristic space travel expansion?,10239
47,Can you describe the gameplay loop of the title that allows players to tame prehistoric beasts and build tribes?,10239
48,What is the backstory behind the creation of the infamous side-scrolling title that featured a playable version of the titular princess?,8533
49,Which controversial entry in a major fantasy franchise was released as part of an agreement between a famous console manufacturer and an electronics giant?,8533
50,Can you provide details about the CD-ROM platform title that Nintendo currently disowns from its official canon?,8533
51,Which mystery title allows users to play as Hercule Poirot to resolve a celebrity homicide on a vacation spot?,4664
52,What is the name of the digital crime-solving adventure centered around a vacation murder investigation?,4664
53,Can you identify the interactive mystery production where a detective searches a holiday location for a murderer?,4664
54,What is the history behind the Codemasters rally racing franchise and its famous namesake driver?,7969
55,Can you provide details about the development and naming evolution of the Dirt and McRae rally game series?,7969
56,Who was the professional racer that consulted on the early Codemasters off-road driving simulation titles?,7969
57,What is the plot concerning the protagonist Garrett navigating a crumbling metropolis filled with social unrest?,4
58,Can you provide a summary of the 2014 stealth reboot featuring a master burglar within an oppressed society?,4
59,What kind of gameplay experience does the title focused on a master pickpocket in a dystopian urban setting offer?,4
60,What video game allows players to manage a musical group and personalize their stage presence?,7932
61,"Is there a title where you act as a manager for a group of performers, styling their outfits and musical gear?",7932
62,Can you identify the handheld DS game focused on organizing and branding a pop ensemble for a live show?,7932
63,What is the plot behind the PlayStation 3 title developed by Level-5 where players fight as a transforming armored warrior?,7482
64,Can you describe the gameplay mechanics and features of the fantasy role-playing game involving Leonard and the rescue of a royal figure?,7482
65,"Which JRPG features an expansive world, online connectivity, and allows the protagonist to harness the strength of an ancient entity to combat a rogue sect?",7482
66,What is the plot of the downloadable content involving a rogue artificial intelligence and the Geth on planet Aite?,783
67,Which supplementary expansion for the second entry in the Shepard saga introduces a hybrid digital entity experiment?,783
68,Could you describe the missions and narrative focus of the additional content pack where a Cerberus facility is taken over by a lethal VI?,783
69,Which DreamWorks animated film series spawned a kart-style video game involving characters like Alex and the penguins?,3767
70,What is the name of the 2009 driving video game that features Shrek and B.O.B. as guest drivers?,3767
71,Can you identify the title of the racing title that included a proprietary steering accessory for the Wii console?,3767
72,Which cycling simulation title allows players to perform hundreds of stunts as famous extreme sports athletes?,3994
73,Can you find the video game that features multiple environments like dirt and street tracks based on a legendary freestyle rider?,3994
74,What is the title of the early 2000s extreme sports simulator that highlights a world champion stunt biker?,3994
75,What video game allows players to drive vintage vehicles from manufacturers like MG and Triumph?,4766
76,Can you name a title that features the Westminster Run in London and focuses on historic automobile competitions?,4766
77,Which simulation software offers a Grand Prix experience using 13 licensed vintage UK automobiles?,4766
78,What is the backstory behind the rookie police officer's early career in this brick-themed open-world title?,6837
79,Can you describe the gameplay mechanics involved in using various outfits for special tasks while patrolling the virtual metropolis?,6837
80,Which handheld adventure serves as an origin story for the protagonist of the Wii U law enforcement saga?,6837
81,What improvements were made in the Firaxis remake of the classic seafaring adventure?,868
82,Can you describe the core gameplay loop and primary objectives for a player in this title?,868
83,Which developer studio was responsible for the 3D-updated version of this nautical simulation game?,868
84,What specific academic and social activities are available for characters in this expansion pack?,3158
85,How does enrolling in higher education impact the career trajectory of virtual people within this title?,3158
86,Can you describe the different social cliques and unique skill-related rewards introduced in this simulation add-on?,3158
87,What are the defining gameplay changes in the final installment of the Quest for Glory series compared to its predecessors?,1897
88,Can you describe the plot and primary objective the hero faces in Silmaria?,1897
89,How does the combat system work in the last chapter of the Quest for Glory saga?,1897
90,What specific features were added to the expanded version of the second Postal title?,3130
91,Which operating systems were exclusively provided with the multiplayer-enabled installment of this shooter?,3130
92,Can you identify the enhanced release of the controversial 2003 action game that introduced network play?,3130
93,What are the specific mechanics involved in rescuing Princess Prin Prin in this classic arcade platformer?,6817
94,How does the sequel to Ghosts 'n Goblins differ in terms of movement options and armor upgrades?,6817
95,What specific requirements must be met to reach the final encounter with the main antagonist in this retro title?,6817
96,What is the follow-up game to Ravenloft: Strahd's Possession that features desert survival mechanics?,2504
97,Which classic role-playing game requires players to manage water consumption while exploring an Egyptian-themed map?,2504
98,Can you identify the 1990s computer RPG where you search for an ancient obelisk while avoiding the pharaoh Anhktepot?,2504
99,What was the title of the third installment in the Puzzle Bobble series?,3454
100,Which consoles received ports of the 1996 arcade title featuring a color-matching mechanic?,3454
101,What is the connection between the 1996 arcade puzzle game and the release known as Bust-a-Move 99?,3454
102,What action RPG game features Jason searching for the Golden Fleece alongside figures like Hercules and Achilles?,7161
103,Which video game puts players in a gladiatorial setting inspired by classical Greek mythology?,7161
104,Can you identify the title of the game that involves a warrior king's journey to becoming a hero favored by the gods?,7161
105,What classic fantasy shooter features a lone warrior using the Hellstaff to avenge his people against monsters?,8419
106,Can you provide details about the expansion title that follows a hero fighting back in a medieval realm filled with demonic foes?,8419
107,Which legendary title involves a quest for retribution against supernatural beings using magical artifacts like the Tomes of Power?,8419
108,What is the premise of the crime saga set in Empire Bay involving protagonist Vito Scaletta?,40
109,Can you describe the core mechanics and gameplay style of the open-world title centered on 1940s and 1950s mob activities?,40
110,Which historical period and location provide the backdrop for the narrative of the Falcone crime family's ascent?,40
111,What is the name of the handheld game where you play as Bloo to defeat the Space Nut Boogies?,8004
112,Which Cartoon Network title allows players to control a character from a popular animated series on the Nintendo DS system?,8004
113,Can you identify the plot of the 2007 adventure game featuring characters from a house for imaginary friends?,8004
114,What classic underwater puzzle title debuted on PC and Mac in early 2005?,615
115,Can you provide the IGDB details for the casual aquatic-themed tile-matching game developed by Reflexive Entertainment?,615
116,Where can I find technical metadata and release history for the oceanic-themed experience known as Big Kahuna Reef?,615
117,What classic PlayStation 2 title features customizable quads from major brands like Yamaha and Honda?,8269
118,Which early 2000s simulation game allows players to race on over twenty different circuits using various four-wheeler vehicles?,8269
119,Can you provide details on the racing simulation that includes multiple event categories and gear personalization for the driver?,8269
120,What are the primary differences between the sequel and its predecessor in the Chikyuu Boueigun series?,5581
121,Can you describe the narrative setting and the playable character archetypes available in this third-person alien shooter?,5581
122,How does the gameplay structure of the English version of this title incorporate cooperative modes and character progression?,5581
123,What is the plot behind the 1993 side-scrolling title created by Team17?,8872
124,Can you describe the narrative premise of the game featuring a prince transformed into an amphibian by a sorceress?,8872
125,Which classic Amiga platforming game involves a protagonist gaining abilities from a specific beverage to rescue a kidnapped royal figure?,8872
126,What is the premise of the initial title in the long-running series featuring customizable robot combat launched in 1997?,4144
127,Can you describe the post-apocalyptic setting and the role of mercenaries within the narrative of this classic 1997 mecha action game?,4144
128,What early third-person action game depicts a future where humanity survives underground after the Great Destruction and corporations vie for control?,4144
129,What is the name of the board game simulator released for the Nintendo 64?,3334
130,Which software allows players to test their tactical skills against a computer on the N64 console?,3334
131,Can you identify a title that features a dynamic engine for playing strategy matches on retro hardware?,3334
132,What are the main additions included in the expansion for the Ancaria fantasy RPG title?,8891
133,How much extra content duration does the Ice and Blood add-on bring to the original PC fantasy role-playing adventure?,8891
134,Which specific geographical areas were introduced in the Sacred 2 expansion pack?,8891
135,What classic educational detective game tasks players with tracking down a notorious female thief across the globe?,251
136,Can you provide information on the Acme Detective Agency game that requires the use of a World Almanac to solve cases?,251
137,Which vintage video game features a worldwide crime spree and supports gameplay in five different languages?,251
