,question,doc_id
0,What are the main gameplay differences in the first 3D Sonic title?,7860
1,Can you explain the plot behind the Dreamcast's most popular hedgehog game?,7860
2,How does the level design split between exploration and fast-paced action in this specific classic?,7860
3,What is the backstory regarding Tikal and the creature released by Dr. Eggman?,7860
4,Which classic Sega platformer featured multiple playable characters and non-linear hub worlds?,7860
5,What is the plot about the group of four survivors trying to reach New Orleans?,124
6,Can you provide a summary for the Valve cooperative zombie shooter game?,124
7,Which game engine was utilized to develop the sequel to the original Left 4 Dead?,124
8,"What is the premise of the journey taken by Ellis, Coach, Nick, and Rochelle in their fight against the Infected?",124
9,How many campaigns are included in the gameplay for the survivors in Left 4 Dead 2?,124
10,What is the plot behind the SpongeBob demolition derby video game?,5189
11,Can you tell me about the SpongeBob boating exam game released for the Wii?,5189
12,What kind of gameplay does the SpongeBob's Boating Bash title offer?,5189
13,How does the story start in the SpongeBob squarepants boating game?,5189
14,Are there any party games where you can drive around Bikini Bottom?,5189
15,What features are included in the Vietnam expansion for Bad Company 2?,607
16,Does the Battlefield Bad Company 2 Vietnam add-on include new maps?,607
17,Can you describe the weapon and vehicle selection in the Bad Company 2 Vietnam DLC?,607
18,How does the progression system work in the Battlefield Bad Company 2 Vietnam expansion?,607
19,What kind of combat environments can players expect in the Bad Company 2 Vietnam content?,607
20,What PSP tactical shooter did Ubisoft release in 2010?,1302
21,Which studio created the Ghost Recon game for PlayStation Portable?,1302
22,Can you give me info on the Ghost Recon title from 2010?,1302
23,Who was the publisher of the tactical warfare game released for PSP in 2010?,1302
24,What is the name of the Virtuos-developed Ghost Recon installment for handhelds?,1302
25,What is the premise of the 2D action role-playing game Battlepaths?,9779
26,Can you tell me about the gameplay mechanics in Battlepaths?,9779
27,Is there a game where I need to defeat the Chaos Overlord using various items and skills?,9779
28,What defines the loot-focused RPG experience in Battlepaths?,9779
29,Where can I find details and info about the title Battlepaths?,9779
30,What was the third wrestling title released on the original Nintendo Entertainment System?,9512
31,Can you provide details about the NES sports game published by Nintendo that featured ring competition?,9512
32,Which classic NES sports game came out after M.U.S.C.L.E. and Tag Team Wrestling?,9512
33,Who was responsible for the development and publishing of the classic 8-bit wrestling game on the NES?,9512
34,What are some other sports-themed games released by Nintendo for the NES alongside their early wrestling title?,9512
35,What is the plot of the RTS game set in the Arctic?,2044
36,Which factions are playable in the Naval War Arctic Circle video game?,2044
37,Can you describe the gameplay of the title focused on maritime and aerial conflict in the northern regions?,2044
38,What geographical areas are featured in the combat simulation game Naval War Arctic Circle?,2044
39,What type of military units can I control in the strategy game about the Arctic power struggle?,2044
40,What was the inaugural entry in the classic medieval merchant simulation franchise?,7353
41,Can you tell me more about the original Patrician title?,7353
42,Which historical trade simulation game started the series?,7353
43,What is the earliest game focused on medieval commerce where you play the merchant?,7353
44,Is there a trading simulator set in the Middle Ages that launched the Patrician brand?,7353
45,What is the premise of the SpongeBob game where you retrieve Neptune's laundry?,2775
46,Can you tell me about the gameplay features of Underpants Slam?,2775
47,What kind of game is the SpongeBob SquarePants title involving collected bloomers?,2775
48,What is the objective for players in SpongeBob SquarePants: Underpants Slam?,2775
49,Details about the plot and mechanics of the aquatic SpongeBob collection game?,2775
50,What is the plot of the Barbie Explorer video game?,3314
51,Can you play Barbie Explorer with two players?,3314
52,Where does Barbie travel in the Explorer game?,3314
53,What kind of activities do you perform in Barbie Explorer?,3314
