question,reasoning,doc_id
Which Paradox Interactive expansion adds the Byzantium Empire back into the game?,Uses the 'Paradox Interactive' and 'Byzantium Empire' hooks to identify the specific expansion,684
What is the second expansion pack for Europa Universalis III?,Directly identifies the expansion pack by its sequence number and parent game,684
Which grand strategy expansion focuses on polishing the base game while introducing the Byzantine Empire?,Combines the polishing aspect and the Byzantine Empire addition to create a search-style query,684
How do I play as the deer to avoid hunters in this hunting sim?,Focuses on the unique 'play as the deer' mechanic which distinguishes it from standard hunting games,258
Which hunting game lets you track prey across seven different landscapes and compete online?,Highlights the specific number of landscapes and the online competition feature to help a specialist identify the title,258
What are the features of Deer Hunter 4: World-Class Record Bucks?,Provides a direct query using the game title to satisfy the variety requirement,258
Which driving game allows you to carry multiple passengers at once and perform a 'Crazy Hop' to jump over obstacles?,Uses the 'multiple passengers' and 'Crazy Hop' mechanics as unique hooks for a specialist to identify the game,1806
What taxi simulator sequel features music from The Offspring and Methods of Mayhem?,"Combines the specific soundtrack artists (The Offspring, Methods of Mayhem) with the 'taxi simulator' genre to create a search-like query",1806
What is the name of the Crazy Taxi sequel that introduced the capacity to pick up several people per trip?,Directly asks for the title of the sequel using the game's brand name to satisfy the variety requirement,1806
What Western shooter lets you play as a ruthless bounty hunter chasing legendary outlaws through a gold mine and saloons?,"Uses the 'bounty hunter', 'gold mine', and 'saloons' hooks to identify the game without using the title",1976
Which Call of Juarez title focuses on the protagonist blurring the lines between man and myth while recounting tales of the Old West?,Directly references the series title 'Call of Juarez' to provide a variety of query types,1976
What game features a narrative structure where a bounty hunter reveals the untold truth behind notorious legends of the Wild West?,Focuses on the specific narrative style of 'untold truth' and 'notorious legends' as a unique identifier,1976
What tactical shooter let players choose from three Ghost classes and use military tech to share intel with their team?,Mentions unique class-based Ghost roles and intel-sharing mechanics to identify the game,1304
Which Ubisoft game was originally called Ghost Recon Online before being re-released in 2014 as Phantoms?,Focuses on the specific name change from 'Online' to 'Phantoms' and the 2014 release date,1304
How does the class-based system and customization work in Tom Clancy's Ghost Recon Phantoms?,Directly asks about the core gameplay mechanics and customization features of the specific title,1304
Which JRPG finale concludes the story of Shion and her fight against Vector Industries and the Gnosis?,"Combines the unique character name 'Shion', the antagonist organization 'Vector Industries', and 'Gnosis' to identify the title.",1229
What RPG features a deep character specialization system and an in-game encyclopedia called the Xeno Bible?,Focuses on the specific 'Xeno Bible' database and the character diversification mechanics unique to this game.,1229
"In Xenosaga Episode III, how has Shion's employment status changed since the previous game?",Directly asks about the plot progression of the protagonist in this specific game installment.,1229
Which Dragon Quest title involves a city guardian collecting wish-granting fruits from a sacred tree?,Includes the title series but combines it with the specific plot hook of the city guardian and sacred fruits.,1820
What RPG features a protagonist who is a city guardian on a quest to retrieve sacred fruits?,Uses the 'city guardian' and 'wish-granting fruits' hooks to identify the game without mentioning the title.,1820
In which game do you play as a city guardian traveling the world to gather fruits that can grant wishes?,Focuses on the specific role of the protagonist (city guardian) and the goal of retrieving wish-granting fruits as distinguishing characteristics.,1820
What Microsoft racing game allows customization of both riders and bikes across 40 tracks?,Uses 'Microsoft racing game' and 'customization of both riders and bikes' as specific hooks to identify the title,795
Which early 2000s motocross title featured multiplayer via the MSN Gaming Network?,Targets the unique historical detail of MSN Gaming Network support for a bike racing game,795
How many 3D objects and event types are included in Motocross Madness 2?,Directly asks about the specific quantitative data provided in the summary (objects and event types) and uses the game's title,795
Which Ridge Racer title blends traditional arcade racing with environmental destruction?,Directly mentions the game title and the unique 'destruction' hook to identify the specific entry in the series.,541
What racing game focuses on crashing into surroundings to reshape the track during a race?,Uses the unique mechanic of destroying the environment to distinguish this game from other racing titles.,541
Which arcade-style racer features a destructive gameplay loop that deviates from the series' usual focus?,"Focuses on the 'new direction' mentioned in the summary, highlighting the shift toward destructive arcade racing.",541
Which cancelled RTS by Victory Games was planned for the Frostbite 3 engine?,"Mentioning Victory Games, cancelled RTS, and the Frostbite 3 engine provides specific hooks for a specialist to identify the game.",1901
What free-to-play strategy game was renamed from Generals 2 before being scrapped by EA?,"Focuses on the transition from 'Generals 2' to a free-to-play model and the subsequent cancellation, which are key details in the game's development history.",1901
What happened to the Victory Games studio after EA's response to negative feedback on a C&C sequel's economy?,Connects the studio closure and the reason for cancellation (economy-based experience) to the specific C&C title.,1901
Which game features a star blitzball athlete who accompanies a summoner on a pilgrimage to stop the entity known as Sin in Spira?,"Focuses on the unique 'blitzball', 'summoner', and 'Sin' keywords to identify the game without using the title",418
What was the first entry in the FF series to introduce fully 3D environments and voice acting?,Targets the technical milestones of 3D areas and voice acting specific to this FF title,418
In which title does Tidus and Yuna strive to break a cycle of destruction in the world of Spira?,Combines the character names 'Tidus' and 'Yuna' with the 'Spira' setting to provide a specialist's hook,418
How does the purple dragon use fury attacks and aerial combos to fight Cynder?,"Focuses on the unique combination of 'fury attacks', 'aerial combos', and 'Cynder' to identify the game",1582
Which game explores the origins of a purple dragon fighting the Dark Master's creation?,Uses the 'purple dragon' and 'Dark Master's creation' hooks to specifically target this title's plot,1582
What are the combat mechanics and breath upgrades in The Legend of Spyro: A New Beginning?,Directly asks about the game's specific combat mechanics while using the title for variety,1582
Which episodic interactive drama features a convicted criminal named Lee Everett trying to protect an orphaned girl named Clementine during a zombie apocalypse?,Uses the specific character names 'Lee Everett' and 'Clementine' and the 'episodic interactive drama' genre to uniquely identify the game.,1871
What Telltale Games title is based on Robert Kirkman's comic book series and focuses on original characters in a world overrun by the undead?,"References the developer 'Telltale Games', the source material 'Robert Kirkman's comic book series', and the the narrative structure to target the search intent.",1871
In which game does a former criminal seek redemption by safeguarding a young girl during the outbreak of a zombie plague?,Focuses on the unique plot hook of a convicted criminal seeking redemption through the protection of a young girl in a zombie setting.,1871
Who is the bounty hunter that fights the leader of the Space Pirates on planet Zebes?,"Uses the unique 'bounty hunter', 'Space Pirates', and 'planet Zebes' hooks to identify the game.",1107
Which GBA title lets you unlock the original game and a picture gallery for another title via a link cable?,"Targets the specific 'GBA', 'link cable', 'picture gallery', and 'unlockable original game' mechanics unique to this release.",1107
What happens in Metroid: Zero Mission regarding Samus Aran's first mission?,Directly references the title to query about the specific narrative purpose of the game.,1107
"Which WWII shooter lets you play as Lt. William Holt and travel between France, North Africa, the Soviet Union, and Belgium?",Uses the protagonist's name 'Lt. William Holt' and the specific list of four campaign regions to identify the game.,1311
"In what game do you earn gold, silver, or bronze medallions based on completing primary and secondary objectives along with killing a specific German officer?",Focuses on the unique mission completion system involving medallions and the 'Nemesis' officer battle mechanic.,1311
What Medal of Honor title features the OSS agent fighting against Graf Von Schrader's henchmen across multiple European fronts?,Directly mentions the game series and the specific antagonist 'Graf Von Schrader' to provide a high-specificity hook.,1311
What 1999 3D fighting game was the last official Capcom title released for the Sega Saturn?,Targets the unique historical fact that it was the last Capcom game for the Sega Saturn,1659
